"id","location_srs","location_x","location_y","operator","elevation","slope","aspect","region","country","geometry","area","map_class","map_class_label","actively_saved","actively_saved_on_year","actively_saved_on_month","actively_saved_on_day","plot_file","ref_class","ref_class_label","confidence","confidence_label","comments"
"62","EPSG:4326","11.068375","12.517125","Rasak Adekola","344","0.00135472484625435","5.48911095684293","Yobe","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"7","EPSG:4326","12.837125","11.062125","Rasak Adekola","417","0.00589874634070439","0.458096552981549","Borno","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"199","EPSG:4326","3.362625","6.459125","Rasak Adekola","3","0.00149835890176987","0.0906290249853288","Lagos","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"131","EPSG:4326","5.970125","9.333625","Rasak Adekola","150","0.00498296588792445","4.54831077480015","Niger","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"122","EPSG:4326","11.185875","11.280875","Rasak Adekola","366","0.0247459378362752","3.97240374952394","Gombe","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"209","EPSG:4326","7.337875","11.866875","Rasak Adekola","573","0.00586450004357208","3.76890686697671","Katsina","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"225","EPSG:4326","8.187375","11.222125","Rasak Adekola","647","0.0120308583865444","6.08783219283574","Kaduna","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"59","EPSG:4326","8.959875","6.782125","Rasak Adekola","142","0.00674791858057618","5.75642803021493","Cross River","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"121","EPSG:4326","9.331125","10.818125","Rasak Adekola","562","0.00444985257116852","0.704192857307727","Bauchi","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","3","Deforestation","hi","High",
"2","EPSG:4326","6.143625","11.312375","Rasak Adekola","466","0.00849999181665324","0.746403081715308","Zamfara","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High",
"25","EPSG:4326","5.212875","11.019875","Rasak Adekola","327","0.0109856730348371","4.73708828009745","Niger","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"44","EPSG:4326","7.104625","12.633375","Rasak Adekola","488","0.00445226793376433","2.3472911526709","Katsina","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High",
"142","EPSG:4326","5.016375","11.292125","Rasak Adekola","281","0.0100406657387849","2.34977252420528","Niger","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","2","Stable forest","hi","High",
"215","EPSG:4326","12.098375","10.813625","Rasak Adekola","713","0.0134055579526163","0.6611141253909","Borno","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"108","EPSG:4326","6.652125","10.265375","Rasak Adekola","362","0.0153969376760593","1.65901617033682","Niger","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"153","EPSG:4326","10.553875","11.038625","Rasak Adekola","448","0.0149700942122229","1.16067837571326","Bauchi","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"118","EPSG:4326","10.535625","11.986875","Rasak Adekola","376","0.00117307390986786","5.65566665074227","Bauchi","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"110","EPSG:4326","5.435125","13.206875","Rasak Adekola","327","0.0157876620275793","4.67801222625487","Sokoto","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"287","EPSG:4326","7.844125","12.851625","Rasak Adekola","506","0.00699818082233122","4.45764569524918","Katsina","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"132","EPSG:4326","9.559375","12.538625","Rasak Adekola","366","7.03399735916394E-4","1.37672355259458","Jigawa","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"70","EPSG:4326","9.246625","10.359375","Rasak Adekola","756","0.0198316506126573","1.05583043490488","Bauchi","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"87","EPSG:4326","11.161375","11.929375","Rasak Adekola","376","0.00196566704583824","0.594999232740253","Yobe","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"179","EPSG:4326","4.788625","6.372875","Rasak Adekola","8","9.58978292412016E-4","2.35645562759583","Ondo","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"148","EPSG:4326","8.024875","11.017875","Rasak Adekola","661","0.00618122026802777","5.46061248554384","Kaduna","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
"143","EPSG:4326","9.125875","9.913125","Rasak Adekola","1016","0.107416840629488","5.76785445790654","Plateau","Nigeria","points","1.0","1","Stable non-forest","true","2018","11","30","pts_CE_2018-11-29_nigeria_GFC_samples.csv","1","Stable non-forest","hi","High",
